NomeCat,CodProd,NomeProd,IDProduto,Usuario,Data,Obs e campos antes das alterações
"Anéis Biju Fina","2270004050428","Anel Biju Fina",3847754,"juliana",13/03/2013 15:10:00,"Obs=F: City Bijoux
Q: 18
Luciana contou, Aleksia colocou código e Juliana cadastrou.
Foto: Renata
Novo"
"Anéis Biju Fina","2270004050428","Anel Biju Fina",3847754,"adriana",21/03/2013 13:40:00,"Obs=Pedido 43350 cancelado
Estoque=0
DataProdAlteracao=18/03/2013 07:37:00
"
"Anéis Biju Fina","2270004050428","Anel Biju Fina",3847754,"adriana",21/03/2013 13:40:00,"Obs=Pedido 43349 cancelado
Estoque=3
DataProdAlteracao=21/03/2013 13:40:00
"
"Anéis Biju Fina","2270004050428","Anel Biju Fina",3847754,"jenifer",21/03/2013 13:41:00,"Obs=
Disponivel=False
"
"Anéis Biju Fina","2270004050428","Anel Biju Fina",3847754,"adriana",21/03/2013 13:44:00,"Obs=Pedido 43161 cancelado
Estoque=8
DataProdAlteracao=21/03/2013 13:41:00
"
"Anéis Biju Fina","2270004050428","Anel Biju Fina",3847754,"adriana",26/03/2013 09:01:00,"Obs=Pedido 43397 cancelado
Estoque=0
"
"Anéis Biju Fina","2270004050428","Anel Biju Fina",3847754,"adriana",26/03/2013 09:01:00,"Obs=Pedido 43374 cancelado
Estoque=1
DataProdAlteracao=26/03/2013 09:01:00
"
"Anéis Biju Fina","2270004050428","Anel Biju Fina",3847754,"adriana",26/03/2013 09:06:00,"Obs=Pedido 43427 cancelado
Estoque=2
DataProdAlteracao=26/03/2013 09:01:00
"
"Anéis Biju Fina","2270004050428","Anel Biju Fina",3847754,"juliana",26/03/2013 09:32:00,"Obs=
Disponivel=False
"
"Anéis Biju Fina","2270004050428","Anel Biju Fina",3847754,"jenifer",27/03/2013 16:28:00,"Obs=QAn: 0
QAc: 14
Luciana contou, colocou código e Jenifer alterou.
Estoque=0
Disponivel=False
"
"Anéis Biju Fina","2270004050428","Anel Biju Fina",3847754,"adriana",28/03/2013 09:37:00,"Obs=Pedido 43994 cancelado
Estoque=14
DataProdAlteracao=27/03/2013 16:28:00
"
"Anéis Biju Fina","2270004050428","Anel Biju Fina",3847754,"adriana",28/03/2013 09:37:00,"Obs=Pedido 43991 cancelado
Estoque=15
DataProdAlteracao=28/03/2013 09:37:00
"
"Anéis Biju Fina","2270004050428","Anel Biju Fina",3847754,"adriana",28/03/2013 09:37:00,"Obs=Pedido 43969 cancelado
Estoque=16
DataProdAlteracao=28/03/2013 09:37:00
"
"Anéis Biju Fina","2270004050428","Anel Biju Fina",3847754,"adriana",28/03/2013 09:41:00,"Obs=Pedido 43793 cancelado
Estoque=17
DataProdAlteracao=28/03/2013 09:37:00
"
"Anéis Biju Fina","2270004050428","Anel Biju Fina",3847754,"adriana",05/04/2013 15:14:00,"Obs=Pedido 44606 cancelado
Estoque=0
DataProdAlteracao=01/04/2013 10:05:00
"
"Anéis Biju Fina","2270004050428","Anel Biju Fina",3847754,"adriana",05/04/2013 15:14:00,"Obs=Pedido 44601 cancelado
Estoque=1
DataProdAlteracao=05/04/2013 15:14:00
"
"Anéis Biju Fina","2270004050428","Anel Biju Fina",3847754,"adriana",05/04/2013 15:17:00,"Obs=Pedido 44612 cancelado
Estoque=2
DataProdAlteracao=05/04/2013 15:14:00
"
"Anéis Biju Fina","2270004050428","Anel Biju Fina",3847754,"juliana",06/04/2013 11:02:00,"Obs=
Disponivel=False
"
"Anéis Biju Fina","2270004050428","Anel Biju Fina",3847754,"jenifer",30/04/2013 15:47:00,"Obs=QAn: 0
QAc: 23
Juliana contou, colocou código e Jenifer alterou.
Estoque=0
Disponivel=False
"
"Anéis Biju Fina","2270004050428","Anel Biju Fina",3847754,"adriana",02/05/2013 09:20:00,"Obs=Pedido 48288 cancelado
Estoque=20
DataProdAlteracao=30/04/2013 15:47:00
"
"Anéis Biju Fina","2270004050428","Anel Biju Fina",3847754,"adriana",10/05/2013 10:26:00,"Obs=Pedido 48258 cancelado
Estoque=17
DataProdAlteracao=02/05/2013 09:20:00
"
"Anéis Biju Fina","2270004050428","Anel Biju Fina",3847754,"adriana",17/05/2013 11:22:00,"Obs=Pedido 49314 cancelado
Estoque=17
DataProdAlteracao=10/05/2013 10:26:00
"
"Anéis Biju Fina","2270004050428","Anel Biju Fina",3847754,"jenifer",27/05/2013 14:47:00,"Obs=QAn: 0
QAc: 88
Dona Marlise contou, colocou código e Jenifer alterou.
Estoque=0
Disponivel=False
"
"Anéis Biju Fina","2270004050428","Anel Biju Fina",3847754,"adriana",31/05/2013 13:51:00,"Obs=Pedido 50436 cancelado
Estoque=88
DataProdAlteracao=27/05/2013 14:47:00
"
"Anéis Biju Fina","2270004050428","Anel Biju Fina",3847754,"adriana",31/05/2013 13:53:00,"Obs=Pedido 50632 cancelado
Estoque=89
DataProdAlteracao=31/05/2013 13:51:00
"
"Anéis Biju Fina","2270004050428","Anel Biju Fina",3847754,"adriana",31/05/2013 13:53:00,"Obs=Pedido 50693 cancelado
Estoque=92
DataProdAlteracao=31/05/2013 13:53:00
"
"Anéis Biju Fina","2270004050428","Anel Biju Fina",3847754,"adriana",31/05/2013 13:54:00,"Obs=Pedido 50665 cancelado
Estoque=93
DataProdAlteracao=31/05/2013 13:53:00
"
"Anéis Biju Fina","2270004050428","Anel Biju Fina",3847754,"adriana",31/05/2013 13:54:00,"Obs=Pedido 50775 cancelado
Estoque=94
DataProdAlteracao=31/05/2013 13:54:00
"
"Anéis Biju Fina","2270004050428","Anel Biju Fina",3847754,"adriana",31/05/2013 14:47:00,"Obs=Pedido 50771 cancelado
Estoque=96
DataProdAlteracao=31/05/2013 13:54:00
"
"Anéis Biju Fina","2270004050428","Anel Biju Fina",3847754,"elisa",13/06/2013 16:33:00,"Obs=Pedido 52861 cancelado
Estoque=93
DataProdAlteracao=31/05/2013 14:47:00
"
"Anéis Biju Fina","2270004050428","Anel Biju Fina",3847754,"adriana",21/06/2013 16:47:00,"Obs=Pedido 52521 cancelado
Estoque=91
DataProdAlteracao=13/06/2013 16:33:00
"
"Anéis Biju Fina","2270004050428","Anel Biju Fina",3847754,"adriana",28/06/2013 12:34:00,"Obs=Pedido 53215 cancelado
Estoque=92
DataProdAlteracao=21/06/2013 16:47:00
"
"Anéis Biju Fina","2270004050428","Anel Biju Fina",3847754,"adriana",28/06/2013 12:42:00,"Obs=Pedido 53804 cancelado
Estoque=93
DataProdAlteracao=28/06/2013 12:34:00
"
"Anéis Biju Fina","2270004050428","Anel Biju Fina",3847754,"adriana",28/06/2013 12:42:00,"Obs=Pedido 53776 cancelado
Estoque=94
DataProdAlteracao=28/06/2013 12:42:00
"
"Anéis Biju Fina","2270004050428","Anel Biju Fina",3847754,"elisa",12/07/2013 11:58:00,"Obs=Pedido 54960 cancelado
Estoque=72
DataProdAlteracao=28/06/2013 12:42:00
"
"Anéis Biju Fina","2270004050428","Anel Biju Fina",3847754,"elisa",12/07/2013 11:58:00,"Obs=Pedido 55081 cancelado
Estoque=73
DataProdAlteracao=12/07/2013 11:58:00
"
"Anéis Biju Fina","2270004050428","Anel Biju Fina",3847754,"ines",12/07/2013 12:23:00,"Obs=Pedido 55597 cancelado
Estoque=74
DataProdAlteracao=12/07/2013 11:58:00
"
"Anéis Biju Fina","2270004050428","Anel Biju Fina",3847754,"adriana",19/07/2013 09:44:00,"Obs=Pedido 55463 cancelado
Estoque=71
DataProdAlteracao=12/07/2013 12:23:00
"
"Anéis Biju Fina","2270004050428","Anel Biju Fina",3847754,"adriana",19/07/2013 09:45:00,"Obs=Pedido 55740 cancelado
Estoque=72
DataProdAlteracao=19/07/2013 09:44:00
"
"Anéis Biju Fina","2270004050428","Anel Biju Fina",3847754,"adriana",19/07/2013 09:45:00,"Obs=Pedido 55697 cancelado
Estoque=74
DataProdAlteracao=19/07/2013 09:45:00
"
