Comando,NomeCat,IDProduto,CodProd,NomeProd,Peso,Descricao,DescrLonga,DescrURL,URLTarget,Estoque,EstoqueMinimo,Disponivel,ICMS,Custo,Preco,PrecoProm,PrecoB2B,PrecoB2BProm,DataPromInicio,DataPromFim,Lancamento,EmDestaque,ImagemProd,ImagemDet,ImagemAmp,Adicional1,Adicional2,Adicional3,AdicionalD1,AdicionalD2,AdicionalD3,Cores,OrdemProd,IDProdutoPai,RamoProd,MaisProd,DataVencimento,DiasAvisoVencimento,DiasReposicao,IDParceiroProd,DescrHTM,MetaKeywordsProd,MaxParcelasProd,XMLParcelasProd,CodBarrasProd,Embalavel,IsProdutoGrande,LarguraProd,AlturaProd,ProfundidadeProd,CodVideo,ProdMPN,TitleProd,URLProd,VendaConjunta,MetaDescriptionProd,IDsFiltroItem
"A","Pulseiras Diversos",5058789,"0103000002","Pacote de Munhequeira",48,"","Colorido
Material: Tecido
Contém 12 unidades.
Medidas do Produto(cm)
Largura 6.5
Altura 6
Profundidade 1.1
Peso: 48g

Pacote de Munhequeira, bijuterias, atacado de bijuterias, atacado de bijouterias, biju, biju, finas, bijuterias","",False,21,0,True,4807,0,9.3,0,0,0,,,False,False,"Munhequeira03000002.jpg","Munhequeira03000002.jpg","Munhequeira03000002M.jpg","","","","","","","",70,,642,"2270003025634,2290003027023,2270003027115",,,0,,"","Pacote de Munhequeira, bijuterias, atacado de bijuterias, atacado de bijouterias, biju, biju, finas, bijuterias",0,0,,True,False,0,0,0,"","","","","","",""
"A","Pulseiras Diversos",5058790,"0103000001","Pacote de Munhequeira",48,"","Colorido
Material: Tecido
Contém 12 unidades.
Medidas do Produto(cm)
Largura 6.5
Altura 6
Profundidade 1.1
Peso: 48g

Pacote de Munhequeira, bijuterias, atacado de bijuterias, atacado de bijouterias, biju, biju, finas, bijuterias","",False,14,0,True,4807,0,9.3,0,0,0,,,False,False,"Munhequeira03000001.jpg","Munhequeira03000001.jpg","Munhequeira03000001M.jpg","","","","","","","",70,,642,"",,,0,,"","Pacote de Munhequeira, bijuterias, atacado de bijuterias, atacado de bijouterias, biju, biju, finas, bijuterias",0,0,,True,False,0,0,0,"","","","","","",""
"A","Pulseiras Diversos",5393691,"0103000004","Pacote de Munhequeira",48,"","Colorido
Material: Tecido
Contém 12 unidades.
Medidas do Produto(cm)
Largura 6.5
Altura 6
Profundidade 1.1
Peso: 48g

Pacote de Munhequeira, bijuterias, atacado de bijuterias, atacado de bijouterias, biju, biju, finas, bijuterias","",False,1,0,True,4807,0,9.3,0,0,0,,,False,False,"Munhequeira03000004.jpg","Munhequeira03000004.jpg","Munhequeira03000004M.jpg","","","","","","","",70,,642,"",,,0,,"","Pacote de Munhequeira, bijuterias, atacado de bijuterias, atacado de bijouterias, biju, biju, finas, bijuterias",0,0,,True,False,0,0,0,"","","","","","",""
"A","Pulseiras Diversos",5406891,"0003021335","Pulseira",14,"","Cor: Preto
Material: Pedra Swarovski
Medidas do Produto(cm)
Largura 6.6
Altura 6.6
Profundidade 0.7
Peso: 14g

Pulseira, bijuterias, atacado de bijuterias, atacado de bijouterias, biju, biju, finas, bijuterias","",False,0,0,False,1417,0,2,0,0,0,,,False,False,"PulseiraSwar03021335.jpg","PulseiraSwar03021335.jpg","PulseiraSwar03021335M.jpg","","","","","","","",57,,642,"",,,0,,"","Pulseira, bijuterias, atacado de bijuterias, atacado de bijouterias, biju, biju, finas, bijuterias",0,0,,True,False,0,0,0,"","","","","","",""
"A","Pulseiras Diversos",5406893,"0003023700","Pulseira",14,"","Cor: Dourado
Material: Pedra Swarovski
Medidas do Produto(cm)
Largura 6.6
Altura 6.6
Profundidade 0.7
Peso: 14g

Pulseira, bijuterias, atacado de bijuterias, atacado de bijouterias, biju, biju, finas, bijuterias","",False,0,0,False,1408,0,2,0,0,0,,,False,False,"PulseiraSwar03023700.jpg","PulseiraSwar03023700.jpg","PulseiraSwar03023700M.jpg","","","","","","","",57,,642,"",,,0,,"","Pulseira, bijuterias, atacado de bijuterias, atacado de bijouterias, biju, biju, finas, bijuterias",0,0,,True,False,0,0,0,"","","","","","",""
"A","Pulseiras Diversos",5406894,"0003023698","Pulseira",14,"","Cor: Incolor
Material: Pedra Swarovski
Medidas do Produto(cm)
Largura 6.6
Altura 6.6
Profundidade 0.7
Peso: 14g

Pulseira, bijuterias, atacado de bijuterias, atacado de bijouterias, biju, biju, finas, bijuterias","",False,19,0,True,1410,0,2,0,0,0,,,False,False,"PulseiraSwar03023698.jpg","PulseiraSwar03023698.jpg","PulseiraSwar03023698M.jpg","","","","","","","",57,,642,"",,,0,,"","Pulseira, bijuterias, atacado de bijuterias, atacado de bijouterias, biju, biju, finas, bijuterias",0,0,,True,False,0,0,0,"","","","","","",""
"A","Pulseiras Diversos",5406895,"0003023703","Pulseira",14,"","Cor: Cinza
Material: Pedra Swarovski
Medidas do Produto(cm)
Largura 6.6
Altura 6.6
Profundidade 0.7
Peso: 14g

Pulseira, bijuterias, atacado de bijuterias, atacado de bijouterias, biju, biju, finas, bijuterias","",False,2,0,True,1409,0,2,0,0,0,,,False,False,"PulseiraSwar03023703.jpg","PulseiraSwar03023703.jpg","PulseiraSwar03023703M.jpg","","","","","","","",57,,642,"",,,0,,"","Pulseira, bijuterias, atacado de bijuterias, atacado de bijouterias, biju, biju, finas, bijuterias",0,0,,True,False,0,0,0,"","","","","","",""
"A","Pulseiras Diversos",5406897,"0003021336","Pulseira",14,"","Cor: Azul Escuro
Material: Pedra Swarovski
Medidas do Produto(cm)
Largura 6.6
Altura 6.6
Profundidade 0.7
Peso: 14g

Pulseira, bijuterias, atacado de bijuterias, atacado de bijouterias, biju, biju, finas, bijuterias","",False,0,0,False,1402,0,2,0,0,0,,,False,False,"PulseiraSwar03021336.jpg","PulseiraSwar03021336.jpg","PulseiraSwar03021336M.jpg","","","","","","","",57,,642,"",,,0,,"","Pulseira, bijuterias, atacado de bijuterias, atacado de bijouterias, biju, biju, finas, bijuterias",0,0,,True,False,0,0,0,"","","","","","",""
"A","Pulseiras Diversos",5411090,"0003029632","Pulseira",12,"","Cor: Preto
Material: Metal e Courino
Medidas do Produto(cm)
Largura 3.6
Altura 23.5
Profundidade 0.5
Peso: 12g

Pulseira, bijuterias, atacado de bijuterias, atacado de bijouterias, biju, biju, finas, bijuterias","",False,27,0,True,1217,0,4.9,0,0,0,,,False,False,"PulseiraCour03029632.jpg","PulseiraCour03029632.jpg","PulseiraCour03029632M.jpg","","","","","","","",63,,642,"",,,0,,"","Pulseira, bijuterias, atacado de bijuterias, atacado de bijouterias, biju, biju, finas, bijuterias",0,0,,True,False,0,0,0,"","","","","","",""
"A","Pulseiras Diversos",5411093,"0003029628","Pulseira",12,"","Cor: Vermelho
Material: Metal e Courino
Medidas do Produto(cm)
Largura 3.6
Altura 23.5
Profundidade 0.5
Peso: 12g

Pulseira, bijuterias, atacado de bijuterias, atacado de bijouterias, biju, biju, finas, bijuterias","",False,3,0,True,1223,0,4.9,0,0,0,,,False,False,"PulseiraCour03029628.jpg","PulseiraCour03029628.jpg","PulseiraCour03029628M.jpg","","","","","","","",63,,642,"",,,0,,"","Pulseira, bijuterias, atacado de bijuterias, atacado de bijouterias, biju, biju, finas, bijuterias",0,0,,True,False,0,0,0,"","","","","","",""
